"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"188"	"GC20120913"	"IVa"	260	0	0	0	66	0	0	0
"189"	"GC20120913"	"IVa"	261	0	0	219	74	0	0	0
"190"	"GC20120913"	"IVa"	275	0	0	0	0	0	0	0
"191"	"GC20120913"	"IVa"	276	0	0	0	54	0	0	0
"192"	"GC20120913"	"IVa"	279	0	0	0	0	0	0	0
"193"	"GC20120913"	"IVa"	280	0	0	0	15	0	0	0
"194"	"GC20120913"	"IVa"	282	0	0	0	0	0	0	0
"195"	"GC20120913"	"IVa"	291	0	0	0	239	0	0	0
"196"	"GC20120913"	"IVa"	293	0	0	0	7	0	0	0
"197"	"GC20120913"	"IVa"	297	0	0	0	13	0	0	0
"198"	"GC20120913"	"IVa"	298	0	0	0	143	0	0	0
"199"	"GC20120913"	"IVa"	303	0	0	0	0	0	0	0
"200"	"GC20120913"	"IVa"	336	0	0	0	33	0	0	0
"201"	"GC20120913"	"IVa"	338	0	0	0	178	0	0	0
"202"	"GC20120913"	"IVa"	350	0	0	0	35	0	0	0
"203"	"GC20120913"	"IVa"	363	0	0	0	39	0	0	0
"204"	"GC20120913"	"IVa"	364	0	0	0	66	0	0	0
"205"	"GC20120913"	"IVa"	368	0	0	0	134	0	0	0
"206"	"GC20120913"	"IVa"	369	0	0	0	52	0	0	0
"207"	"GC20120913"	"I"	250	0	72	0	0	24	0	0
"208"	"GC20120913"	"I"	253	0	0	0	0	0	0	0
"209"	"GC20120913"	"I"	254	0	0	0	0	0	0	0
"210"	"GC20120913"	"I"	257	0	0	0	0	0	32	0
"211"	"GC20120913"	"I"	258	0	0	0	0	0	299	0
"212"	"GC20120913"	"I"	272	35	0	0	0	0	32	0
"213"	"GC20120913"	"I"	274	0	0	0	0	0	0	0
"214"	"GC20120913"	"I"	287	0	0	0	0	0	0	0
"215"	"GC20120913"	"I"	288	0	0	0	0	0	58	0
