"trip"	"site"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"	"42"	"43"	"44"	"45"	"46"	"47"	"48"	"49"	"50"	"51"	"52"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"
"29"	"GC20130625"	"II"	53	9	3	1	1	0	29	57	34	19	10	0	2	0	0	1	0	0	0	0	0	0	34	126	51	2	1	0	0	57	332	261	175	102	59	52	26	4	1	0	0	27	804	634	115	10	1	0	65	317	362	148	44	11	3	1	1	0	0	356	310	49	14	6	2	2	1	0	0	0	0	0	0	0	0	1	1	0
"30"	"GC20130625"	"III"	10	7	4	5	0	0	25	31	26	6	3	0	1	0	0	0	0	0	0	0	1	8	22	29	10	0	0	0	0	75	297	247	151	83	45	17	6	0	0	0	0	26	912	559	119	15	1	0	96	349	362	151	51	7	0	0	0	0	0	199	141	45	17	9	3	0	1	0	0	0	1	0	0	0	0	0	0	0
"31"	"GC20130625"	"IVa"	19	2	0	0	1	0	31	46	25	10	3	2	0	1	0	0	0	0	0	0	0	8	31	62	16	1	0	0	0	71	287	235	110	50	32	20	4	1	0	0	0	48	709	598	202	5	0	0	82	247	301	147	58	13	5	2	0	0	0	178	164	60	27	18	9	0	0	2	0	0	0	0	0	0	0	0	0	0
"32"	"GC20130625"	"IVb"	2	1	0	0	0	0	26	45	44	22	12	2	4	2	0	0	0	0	0	1	1	27	94	154	43	4	0	0	1	64	300	201	124	74	47	45	12	0	0	0	0	62	711	669	193	9	0	1	51	235	325	161	78	9	1	1	0	0	0	357	286	86	31	7	4	4	1	0	1	0	0	1	0	0	0	0	0	0
"33"	"GC20130912"	"I"	4	1	1	2	0	0	10	19	12	10	2	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	7	95	329	203	23	0	0	22	195	360	297	138	34	4	0	0	0	0	255	353	87	35	22	5	6	0	2	0	1	0	0	1	1	0	0	0	0
"34"	"GC20130912"	"II"	0	0	0	0	0	0	12	6	6	11	5	6	2	1	0	0	0	1	0	0	0	2	6	14	11	1	0	0	0	6	22	15	12	11	11	3	1	0	0	0	0	13	66	99	72	5	0	0	39	168	237	136	68	14	0	2	0	0	0	191	224	95	60	20	15	9	8	5	1	0	2	0	0	0	0	0	0	0
"35"	"GC20130912"	"III"	4	0	0	0	0	0	15	10	16	9	5	3	0	1	1	0	1	0	0	0	1	5	29	50	21	8	0	0	0	5	35	19	11	21	25	9	2	0	0	0	0	24	137	157	86	20	1	0	51	161	204	173	64	15	4	0	0	0	0	99	108	78	54	29	10	9	4	1	3	1	1	0	1	0	0	0	0	0
"36"	"GC20130912"	"IVa"	0	0	0	0	0	0	6	11	16	5	4	0	3	0	0	1	0	0	0	0	0	7	35	49	16	6	0	0	0	18	23	18	23	43	36	22	0	0	0	0	0	9	96	100	58	15	2	0	76	165	174	84	46	12	4	1	0	0	0	94	150	97	69	44	21	14	4	5	3	1	1	0	1	0	0	0	0	0
"37"	"GC20130912"	"IVb"	0	0	0	0	0	0	3	2	2	5	1	2	0	0	1	0	0	0	0	0	0	0	7	9	2	0	0	0	0	3	70	10	8	4	8	6	2	0	0	0	0	4	46	40	18	0	0	0	6	60	89	41	10	0	0	0	0	0	0	37	63	62	34	29	19	12	12	4	1	2	2	0	0	3	0	1	0	0
"38"	"GC20140109"	"I"	9	4	7	1	0	0	1	12	11	17	9	1	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	3	25	48	71	67	30	12	3	0	0	0	0	0	27	86	50	7	0	0	15	58	66	26	7	6	0	0	0	0	0	43	89	96	78	54	28	16	8	7	6	3	4	2	1	0	1	0	0	0
